model,method,has_negative,negative_mass
LLaVA-1.5,VASE,True,0.49995335936546326
LLaVA-1.5,VASE,True,0.4999525547027588
LLaVA-1.5,VASE,True,0.498913437128067
LLaVA-1.5,VASE,True,0.49872922897338867
LLaVA-1.5,VASE,True,0.4834100902080536
LLaVA-1.5,VASE,True,0.4999726116657257
LLaVA-1.5,VASE,True,0.3267395794391632
LLaVA-1.5,VASE,True,0.46743762493133545
LLaVA-1.5,VASE,True,0.4550480544567108
LLaVA-1.5,VASE,True,0.49998486042022705
LLaVA-1.5,VASE,True,0.27887654304504395
LLaVA-1.5,VASE,True,0.49724701046943665
LLaVA-1.5,VASE,True,0.4135962128639221
LLaVA-1.5,VASE,True,0.4954689145088196
LLaVA-1.5,VASE,True,0.4987689256668091
LLaVA-1.5,VASE,True,0.5000013709068298
LLaVA-1.5,VASE,True,0.4990112781524658
LLaVA-1.5,VASE,True,0.493668794631958
LLaVA-1.5,VASE,True,0.49896955490112305
LLaVA-1.5,VASE,True,0.43547385931015015
LLaVA-1.5,VASE,True,0.4597907066345215
LLaVA-1.5,VASE,True,0.4481266438961029
LLaVA-1.5,VASE,True,0.5000028014183044
LLaVA-1.5,VASE,True,0.4972599148750305
LLaVA-1.5,VASE,True,0.4701908230781555
LLaVA-1.5,VASE,True,0.49575525522232056
LLaVA-1.5,VASE,True,0.49716609716415405
LLaVA-1.5,VASE,True,0.500003457069397
LLaVA-1.5,VASE,True,0.4956299662590027
LLaVA-1.5,VASE,True,0.4999915361404419
LLaVA-1.5,VASE,True,0.4850616753101349
LLaVA-1.5,VASE,True,0.49634110927581787
LLaVA-1.5,VASE,True,0.49727723002433777
LLaVA-1.5,VASE,True,0.4999780058860779
LLaVA-1.5,VASE,True,0.49998974800109863
LLaVA-1.5,VASE,True,0.49257147312164307
LLaVA-1.5,VASE,True,0.4998510479927063
LLaVA-1.5,VASE,True,0.4999176263809204
LLaVA-1.5,VASE,True,0.49980857968330383
LLaVA-1.5,VASE,False,0.0
LLaVA-1.5,VASE,True,0.1046467199921608
LLaVA-1.5,VASE,True,0.4992147386074066
LLaVA-1.5,VASE,True,0.4992036521434784
LLaVA-1.5,VASE,True,0.49499014019966125
LLaVA-1.5,VASE,True,0.49210500717163086
LLaVA-1.5,VASE,True,0.4999966025352478
LLaVA-1.5,VASE,True,0.16384458541870117
LLaVA-1.5,VASE,True,0.4462586045265198
LLaVA-1.5,VASE,True,0.4999864399433136
LLaVA-1.5,VASE,True,0.499528169631958
LLaVA-1.5,VASE,True,0.4946233630180359
LLaVA-1.5,VASE,True,0.3288377523422241
LLaVA-1.5,VASE,True,0.47795218229293823
LLaVA-1.5,VASE,True,0.3592832088470459
LLaVA-1.5,VASE,True,0.017071515321731567
LLaVA-1.5,VASE,True,0.49999889731407166
LLaVA-1.5,VASE,True,5.941859126323834e-05
LLaVA-1.5,VASE,True,0.003116823500022292
LLaVA-1.5,VASE,True,0.043581802397966385
LLaVA-1.5,VASE,True,0.4999980330467224
LLaVA-1.5,VASE,True,0.4980977177619934
LLaVA-1.5,VASE,True,0.49838125705718994
